id,area,population,unemployee,crime
01101,北海道 札幌市 中央区,202801,6542,6118
01102,北海道 札幌市 北区,272877,9277,4615
01103,北海道 札幌市 東区,253996,9448,4114
01104,北海道 札幌市 白石区,201307,8606,4132
01105,北海道 札幌市 豊平区,209428,7464,3231
01106,北海道 札幌市 南区,153021,4755,1789
01107,北海道 札幌市 西区,207329,6642,2689
01108,北海道 札幌市 厚別区,129720,4572,2087
01109,北海道 札幌市 手稲区,137601,4801,1838
01110,北海道 札幌市 清田区,112783,4151,1316
01202,北海道 函館市,294264,12490,4331
01203,北海道 小樽市,142161,5131,1258
01204,北海道 旭川市,355004,12922,4930
01205,北海道 室蘭市,98372,3388,847
01206,北海道 釧路市,190478,7735,2027
01207,北海道 帯広市,170580,4603,2072
01208,北海道 北見市,129365,3881,1277
01209,北海道 夕張市,13001,425,86
01210,北海道 岩見沢市,93677,2909,1030
01211,北海道 網走市,42045,1152,353
01212,北海道 留萌市,26826,734,254
01213,北海道 苫小牧市,172758,5143,3058
01214,北海道 稚内市,41592,1276,393
01215,北海道 美唄市,29083,918,280
01216,北海道 芦別市,18899,605,126
01217,北海道 江別市,125601,3948,1641
01218,北海道 赤平市,14401,620,76
01219,北海道 紋別市,26632,771,270
01220,北海道 士別市,23411,543,163
01221,北海道 名寄市,31628,795,239
01222,北海道 三笠市,11927,483,89
01223,北海道 根室市,31202,767,241
01224,北海道 千歳市,91437,2648,1569
01225,北海道 滝川市,45562,1367,500
01226,北海道 砂川市,20068,619,241
01227,北海道 歌志内市,5221,202,31
01228,北海道 深川市,25838,548,217
01229,北海道 富良野市,25076,491,218
01230,北海道 登別市,53135,2120,576
01231,北海道 恵庭市,67614,2233,1185
01233,北海道 伊達市,37066,1025,421
01234,北海道 北広島市,60677,1848,796
01235,北海道 石狩市,60104,2065,823
01236,北海道 北斗市,48056,1735,720
01303,北海道 当別町,19982,599,248
01304,北海道 新篠津村,3737,39,40
01331,北海道 松前町,10121,424,39
01332,北海道 福島町,5897,331,23
01333,北海道 知内町,5447,193,20
01334,北海道 木古内町,6024,255,39
01337,北海道 七飯町,28424,946,234
01343,北海道 鹿部町,4919,174,46
01345,北海道 森町,19149,742,151
01346,北海道 八雲町,20131,503,162
01347,北海道 長万部町,7003,191,56
01361,北海道 江差町,10131,349,54
01362,北海道 上ノ国町,6417,278,21
01363,北海道 厚沢部町,4775,149,31
01364,北海道 乙部町,4816,274,23
01367,北海道 奥尻町,3643,64,8
01370,北海道 今金町,6466,128,27
01371,北海道 せたな町,10748,256,64
01391,北海道 島牧村,1996,39,15
01392,北海道 寿都町,3744,62,26
01393,北海道 黒松内町,3457,56,24
01394,北海道 蘭越町,5802,116,34
01395,北海道 ニセコ町,4669,162,31
01396,北海道 真狩村,2354,37,10
01397,北海道 留寿都村,2165,35,39
01398,北海道 喜茂別町,2707,55,30
01399,北海道 京極町,3583,66,26
01400,北海道 倶知安町,16176,492,169
01401,北海道 共和町,7112,108,72
01402,北海道 岩内町,15744,530,177
01403,北海道 泊村,2185,47,16
01404,北海道 神恵内村,1319,43,13
01405,北海道 積丹町,2860,75,32
01406,北海道 古平町,4021,100,12
01407,北海道 仁木町,3967,47,37
01408,北海道 余市町,22734,768,226
01409,北海道 赤井川村,1310,27,17
01423,北海道 南幌町,9564,237,97
01424,北海道 奈井江町,6836,228,53
01425,北海道 上砂川町,4770,316,32
01427,北海道 由仁町,6477,123,74
01428,北海道 長沼町,12401,249,168
01429,北海道 栗山町,14352,352,150
01430,北海道 月形町,4785,83,27
01431,北海道 浦臼町,2417,43,9
01432,北海道 新十津川町,7684,140,37
01433,北海道 妹背牛町,3943,93,17
01434,北海道 秩父別町,3003,58,13
01436,北海道 雨竜町,3316,48,12
01437,北海道 北竜町,2376,42,18
01438,北海道 沼田町,4041,79,26
01452,北海道 鷹栖町,7261,146,49
01453,北海道 東神楽町,9194,134,87
01454,北海道 当麻町,7473,185,66
01455,北海道 比布町,4340,105,32
01456,北海道 愛別町,3739,84,13
01457,北海道 上川町,5176,103,57
01458,北海道 東川町,7701,189,67
01459,北海道 美瑛町,11628,306,84
01460,北海道 上富良野町,12352,230,63
01461,北海道 中富良野町,5707,97,23
01462,北海道 南富良野町,2947,70,13
01463,北海道 占冠村,1819,30,22
01464,北海道 和寒町,4238,54,18
01465,北海道 剣淵町,3952,53,29
